Harshad Dixit,date unknown ,,Fly Emirates XI,,,,,
Hasan,date unknown ,,Scorpions,,,,,
Hasan,date unknown ,,Original Team 8,,,,,
Hasantha,February 29  1988  Galle ,30 years 38 days,Emrill Cricket Club,,,,,
Haseeb,date unknown ,,SOL Group,,,,,
Hasnain,date unknown ,,Star CC,,,,,
Hasnain,date unknown ,,Dubai Tigers,,,,,
Hassan,date unknown ,,Faisal 11,,,,,
Hassan,date unknown ,,Naik Riders Junior,,,,,
Hassan,date unknown ,,Leopards,,,,,
Hassan,date unknown ,,Original Team 8,,,,,
Hassan,date unknown ,,SGH Challengers,,,,,
Hassan,date unknown ,,High Star Medical CC,,,,,
Hassan,date unknown ,,Naik Cricketers,,,,,
Hassan,date unknown ,,Been Chakwal CC,,,,,
Hassan,date unknown ,,Cousins CC,,,,,
Hassan Javed,date unknown ,,,,,,Umpire,
Hassan Mohsin,date unknown ,,Dubai Tigers 11,,,,,
Hassan Naveed,date unknown ,,BK Gulf LLC,,,,,
Hatim,date unknown ,,Tiger CC,,,,,
Hatim,date unknown ,,Khiladi,,,,,
Hayat,date unknown ,,AFS,,,,,
Hayat,date unknown ,,AFS,,,,,
Hayat khan,January 29  1983  Pakistan ,35 years 69 days,APS,,,,,
Hayder Ali,April 19  1966  Kerala ,51 years 354 days,,,,,Umpire,
Hazalat,date unknown ,,My Life,,,,,
Hemant,date unknown ,,Wonderlads,,,,,
Hemant,date unknown ,,Wonderlads,,,,,
Hemant,date unknown ,,Force 8,,,,,
Hidayat Hussain,date unknown ,,Alec Warriors,,,,,
Hilal,date unknown ,,Eppco,,,,,
Hilesh,date unknown ,,Ball Burners,,,,,
Hiran,date unknown ,,SHJ Warriors,,,,,
Hiran,date unknown ,,Warriors Dubai,,,,,
Hiren,date unknown ,,Captains,,,,,
Hiren,date unknown ,,Renegades,,,,,
Hiren,date unknown ,,Renegades,,,,,
Hiren,date unknown ,,Infinity,,,,,
Hitesh,date unknown ,,Captains,,,,,
Hitesh,date unknown ,,Nice Lead,,,,,
Hitesh Patel,date unknown ,,Nico International,,,,,
Hitin,date unknown ,,Bad Boys,,,,,
Hitin,date unknown ,,OMG,,,,,
Hizam,date unknown ,,Force 8,,,,,
Ethan William Holmes,May 16  1997  United Kingdom ,20 years 327 days,United Arab Emirates Under-19s,,Right-hand bat,,,
Hormazd,date unknown ,,Cobras (UAE),,,,,
Hormaze,date unknown ,,Cobras (UAE),,,,,
Hozair,date unknown ,,Pasha XI,,,,,
Hozefa,date unknown ,,Khiladi 786,,,,,
Hresh,date unknown ,,The All Blacks,,,,,
Hrithik Ansh,date unknown ,,United Arab Emirates Under-19s,,,,,
Humaid,date unknown ,,AFS,,,,,
Humaid Bashir,May 28  1988  Pakistan ,29 years 315 days,APS,,,,,
Humaria Tasneem,June 8  1995  United Arab Emirates ,22 years 304 days,United Arab Emirates Women,,Right-hand bat,Right-arm offbreak,,
Husain Qasim,date unknown ,,Khiladi 786,,,,,
Husain Shabir,date unknown ,,Khiladi 786,,,,,
Husnain,date unknown ,,BAWA United CC,,,,,
Hussain,date unknown ,,SOL Group,,,,,
Hussain,date unknown ,,Pakhtoon XI,,,,,
Hussain,date unknown ,,Singham CC,,,,,
